              datasetid  iteration         time   gevals         F
            a9a_0.1_0.1      556.0    16.546421    557.0  0.513225
     australian_0.1_0.1       79.0     1.104695     80.0  0.667209
  breast_cancer_0.1_0.1      258.0     4.050505    259.0  0.308645
   colon_cancer_0.1_0.1    26155.0  2458.978819  26156.0  0.322541
           duke_0.1_0.1        inf          inf      inf  0.252983
   german_numer_0.1_0.1      312.0     4.746085    313.0  0.557938
          heart_0.1_0.1     1443.0    25.773718   1444.0  0.640505
         ijcnn1_0.1_0.1      448.0    12.393295    449.0  0.379714
     ionosphere_0.1_0.1      414.0     6.884427    415.0  0.528899
            leu_0.1_0.1        inf          inf      inf  0.255884
      mushrooms_0.1_0.1     2780.0    59.870434   2781.0  0.275824
       phishing_0.1_0.1     7116.0   171.016564   7117.0  0.378693
         splice_0.1_0.1       51.0     0.880758     52.0  0.558178
          sonar_0.1_0.1     3948.0    72.831511   3949.0  0.495929
      svmguide1_0.1_0.1       60.0     0.965662     61.0  0.611728
      svmguide3_0.1_0.1      346.0     5.801389    347.0  0.591125
            w8a_0.1_0.1      906.0    36.509048    907.0  0.413094
            a9a_0.3_0.1      778.0    26.093095    779.0  0.509050
     australian_0.3_0.1       78.0     1.173398     79.0  0.667215
  breast_cancer_0.3_0.1      826.0    13.083712    827.0  0.308081
   colon_cancer_0.3_0.1        inf          inf      inf  0.342064
           duke_0.3_0.1        inf          inf      inf  0.270354
   german_numer_0.3_0.1      618.0    10.601603    619.0  0.549095
          heart_0.3_0.1      908.0    15.374779    909.0  0.652485
         ijcnn1_0.3_0.1      321.0     9.304086    322.0  0.440299
     ionosphere_0.3_0.1      592.0    10.467280    593.0  0.535525
            leu_0.3_0.1        inf          inf      inf  0.264808
      mushrooms_0.3_0.1     5194.0   139.651919   5195.0  0.292419
       phishing_0.3_0.1     5004.0   132.435276   5005.0  0.380468
         splice_0.3_0.1       49.0     0.958365     50.0  0.568281
          sonar_0.3_0.1     6277.0   139.953614   6278.0  0.532877
      svmguide1_0.3_0.1       60.0     0.995064     61.0  0.611728
      svmguide3_0.3_0.1      105.0     1.639805    106.0  0.602320
            w8a_0.3_0.1     1203.0    60.588321   1204.0  0.436480
            a9a_0.5_0.1     1295.0    49.045857   1296.0  0.515341
     australian_0.5_0.1       78.0     1.223968     79.0  0.667213
  breast_cancer_0.5_0.1      427.0     7.376318    428.0  0.311962
   colon_cancer_0.5_0.1        inf          inf      inf  0.340726
           duke_0.5_0.1        inf          inf      inf  0.268129
   german_numer_0.5_0.1      664.0    11.974288    665.0  0.556484
          heart_0.5_0.1     1177.0    20.842635   1178.0  0.649560
         ijcnn1_0.5_0.1      285.0     8.371666    286.0  0.440074
     ionosphere_0.5_0.1      638.0    12.142261    639.0  0.520976
            leu_0.5_0.1        inf          inf      inf  0.256357
      mushrooms_0.5_0.1     3879.0   117.672205   3880.0  0.297735
       phishing_0.5_0.1     5245.0   151.010338   5246.0  0.379189
         splice_0.5_0.1       53.0     1.148772     54.0  0.574116
          sonar_0.5_0.1     4951.0   121.112976   4952.0  0.534946
      svmguide1_0.5_0.1       60.0     0.963528     61.0  0.611728
      svmguide3_0.5_0.1     1371.0    25.736857   1372.0  0.604322
            w8a_0.5_0.1      882.0    53.985298    883.0  0.435340
           a9a_0.1_0.01     6604.0   199.113816   6605.0  0.366359
    australian_0.1_0.01      669.0    10.292949    670.0  0.635919
 breast_cancer_0.1_0.01     3069.0    50.653526   3070.0  0.120152
  colon_cancer_0.1_0.01        inf          inf      inf  0.066319
          duke_0.1_0.01        inf          inf      inf  0.051836
  german_numer_0.1_0.01     1659.0    25.017604   1660.0  0.482899
         heart_0.1_0.01        inf          inf      inf  0.517190
        ijcnn1_0.1_0.01     1894.0    56.383024   1895.0  0.216884
    ionosphere_0.1_0.01     4008.0    72.114064   4009.0  0.352727
           leu_0.1_0.01        inf          inf      inf  0.049206
     mushrooms_0.1_0.01    27922.0   730.457178  27923.0  0.069667
      phishing_0.1_0.01    53775.0  1468.310460  53776.0  0.187676
