
================================================================================
       Inexact Proximal Gradient Type Method   (version:0.1 (2021-09-17))  
================================================================================
Problem Summary: Excuted at 2021-10-1 21:42
Dataset:............................................duke
Data Size:......................................n=44, p=7129
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0162
Number of groups:.............................792

Algorithm Parameters:
Termination Conditions: accuracy: 1e-06 | optim scaled: False | time limits:3600.0 | iteration limits:100000
Inexact Strategy: yd: gamma:1.000e-01
Lineserch Parameters: eta:1e-05 | xi:0.5 | beta:1.1
Proximal Stepsize update: heuristic
****************************************************************************************************
    35 3.014e-01 2.547e-02 | 5.326e-03    1 desired 1.822e+01    0 +6.775e-05 +2.917e-04  362   430 |    0   1.000e+00 5.326e-03 |
    36 3.006e-01 2.802e-02 | 6.171e-03    1 desired 1.822e+01    0 +2.304e-04 +3.430e-04  374   418 |    0   1.000e+00 6.171e-03 |
    37 3.000e-01 3.082e-02 | 7.643e-03    1 desired 1.822e+01    0 +2.818e-04 +4.595e-04  383   409 |    0   1.000e+00 7.643e-03 |
    38 2.995e-01 3.390e-02 | 1.025e-02    1 desired 1.822e+01    0 +5.845e-04 +7.192e-04  389   403 |    0   1.000e+00 1.025e-02 |
    39 2.995e-01 3.730e-02 | 1.602e-02    1 desired 1.822e+01    0 +1.387e-03 +1.526e-03  385   407 |    1   5.000e-01 8.009e-03 |
 Iters.   Obj.    alphak   |  aoptim   its.   Flag  Stepsize  baks    Gap       tarGap    #pz  #pnz | baks    stepsize  |dtaken| |
    40 2.980e-01 2.984e-02 | 6.673e-03    2 desired 2.004e+01    0 +1.702e-04 +3.670e-04  400   392 |    0   1.000e+00 6.673e-03 |
    41 2.973e-01 3.282e-02 | 8.008e-03    1 desired 2.004e+01    0 +3.297e-04 +4.607e-04  412   380 |    0   1.000e+00 8.008e-03 |
    42 2.969e-01 3.610e-02 | 1.022e-02    1 desired 2.004e+01    0 +5.189e-04 +6.522e-04  421   371 |    0   1.000e+00 1.022e-02 |
    43 2.966e-01 3.971e-02 | 1.423e-02    2 desired 2.205e+01    0 +4.360e-04 +1.096e-03  392   400 |    1   5.000e-01 7.117e-03 |
